Loss,RMS Error
2.24033 , 0.304198
2.2925 , 0.32714
2.24637 , 0.313223
2.19834 , 0.298632
2.15036 , 0.28411
2.10219 , 0.269597
2.05353 , 0.255016
2.00412 , 0.240315
1.95378 , 0.225478
1.90234 , 0.210527
1.84975 , 0.195539
1.79596 , 0.180657
1.74101 , 0.166113
1.68499 , 0.152259
1.62803 , 0.139597
1.57031 , 0.128813
1.51204 , 0.120759
1.45347 , 0.116346
1.39486 , 0.116297
1.33649 , 0.120863
1.27864 , 0.12974
1.22158 , 0.142233
1.16559 , 0.157535
1.1109 , 0.174912
1.05773 , 0.193764
1.00628 , 0.213631
0.956696 , 0.234162
0.909108 , 0.255089
0.863602 , 0.276206
0.820236 , 0.297352
0.779035 , 0.318404
0.739997 , 0.339262
0.703097 , 0.359849
0.668289 , 0.380107
0.635512 , 0.399989
0.604692 , 0.419462
0.575744 , 0.438501
0.548578 , 0.457089
0.523101 , 0.475217
0.499217 , 0.492879
0.476831 , 0.510076
0.455851 , 0.526809
0.436184 , 0.543086
0.417743 , 0.558914
0.400447 , 0.574304
0.384215 , 0.589265
0.368973 , 0.60381
0.354653 , 0.617951
0.341188 , 0.631702
0.328517 , 0.645075
0.316586 , 0.658084
0.30534 , 0.670741
0.294733 , 0.683059
0.284718 , 0.695051
0.275255 , 0.70673
0.266306 , 0.718107
0.257834 , 0.729193
0.249808 , 0.739999
0.242198 , 0.750538
0.234975 , 0.760818
0.228114 , 0.77085
0.221591 , 0.780643
0.215385 , 0.790206
0.209475 , 0.799548
0.203843 , 0.808677
0.198471 , 0.817602
0.193343 , 0.826329
0.188444 , 0.834866
0.183761 , 0.84322
0.179281 , 0.851398
0.174993 , 0.859405
0.170884 , 0.867248
0.166945 , 0.874933
0.163166 , 0.882465
0.159538 , 0.889849
0.156054 , 0.89709
0.152705 , 0.904193
0.149484 , 0.911163
0.146384 , 0.918005
0.1434 , 0.924722
0.140524 , 0.931318
0.137753 , 0.937797
0.13508 , 0.944162
0.1325 , 0.950418
0.13001 , 0.956568
0.127604 , 0.962615
0.12528 , 0.968561
0.123032 , 0.974411
0.120858 , 0.980167
0.118753 , 0.985831
0.116716 , 0.991406
0.114743 , 0.996895
0.112831 , 1.0023
0.110977 , 1.00762
0.109179 , 1.01287
0.107435 , 1.01803
0.105742 , 1.02313
0.104099 , 1.02815
0.102502 , 1.03309
0.100951 , 1.03797
0.099443 , 1.04278
0.097977 , 1.04753
0.0965509 , 1.05221
0.0951636 , 1.05683
0.0938131 , 1.06138
0.0924985 , 1.06588
0.091218 , 1.07032
0.0899706 , 1.07471
0.088755 , 1.07903
0.0875701 , 1.08331
0.0864147 , 1.08753
0.0852879 , 1.0917
0.0841885 , 1.09582
0.0831157 , 1.09989
0.0820684 , 1.10391
0.0810463 , 1.10788
0.0800476 , 1.11181
0.0790723 , 1.11569
0.0781193 , 1.11953
0.0771879 , 1.12333
0.0762774 , 1.12708
0.0753872 , 1.1308
0.0745166 , 1.13447
0.0736649 , 1.1381
0.0728316 , 1.14169
0.0720161 , 1.14525
0.0712179 , 1.14877
0.0704363 , 1.15225
0.069671 , 1.1557
0.0689215 , 1.15911
0.0681873 , 1.16248
0.0674678 , 1.16583
0.0667627 , 1.16913
0.0660719 , 1.17241
0.0653943 , 1.17566
0.06473 , 1.17887
0.0640786 , 1.18205
0.0634396 , 1.1852
0.0628127 , 1.18833
0.0621976 , 1.19142
0.061594 , 1.19448
0.0610017 , 1.19752
0.06042 , 1.20053
0.0598491 , 1.20351
0.0592884 , 1.20647
0.0587376 , 1.2094
0.0581968 , 1.2123
0.0576653 , 1.21518
0.0571432 , 1.21803
0.05663 , 1.22086
0.0561258 , 1.22366
0.0556301 , 1.22644
0.0551428 , 1.2292
0.0546636 , 1.23193
0.0541925 , 1.23465
0.053729 , 1.23733
0.0532734 , 1.24
0.052825 , 1.24265
0.0523837 , 1.24527
0.0519496 , 1.24788
0.0515223 , 1.25046
0.051102 , 1.25302
0.0506881 , 1.25557
0.0502806 , 1.25809
0.0498797 , 1.26059
0.0494845 , 1.26308
0.0490956 , 1.26554
0.0487126 , 1.26799
0.0483353 , 1.27042
0.0479634 , 1.27283
0.0475973 , 1.27523
0.0472364 , 1.2776
0.0468807 , 1.27996
0.0465305 , 1.2823
0.0461851 , 1.28463
0.0458445 , 1.28694
0.0455092 , 1.28923
0.0451782 , 1.2915
0.0448521 , 1.29376
0.0445303 , 1.29601
0.0442132 , 1.29824
0.0439002 , 1.30045
0.0435916 , 1.30265
0.0432873 , 1.30484
0.0429871 , 1.307
0.0426909 , 1.30916
