Loss,RMS Error
2.245 , 0.302825
2.2038 , 0.273701
2.08095 , 0.233154
1.96168 , 0.193642
1.84657 , 0.155641
1.73584 , 0.119942
1.62968 , 0.0884255
1.52829 , 0.0659449
1.4318 , 0.0615713
1.34035 , 0.077148
1.254 , 0.103093
1.17278 , 0.132705
1.09667 , 0.163356
1.02557 , 0.194007
0.959365 , 0.224185
0.89789 , 0.253654
0.840939 , 0.28229
0.788283 , 0.310024
0.739674 , 0.336823
0.694853 , 0.362678
0.653558 , 0.387592
0.615529 , 0.411582
0.580512 , 0.434669
0.548264 , 0.456882
0.518553 , 0.478251
0.491163 , 0.49881
0.465893 , 0.518594
0.442558 , 0.537636
0.420985 , 0.555973
0.401018 , 0.573637
0.382516 , 0.590663
0.365348 , 0.607082
0.349396 , 0.622925
0.334555 , 0.638221
0.320728 , 0.652999
0.307828 , 0.667284
0.295777 , 0.681103
0.284502 , 0.694479
0.273939 , 0.707434
0.264031 , 0.719988
0.254725 , 0.732164
0.245972 , 0.743978
0.23773 , 0.755448
0.229959 , 0.766591
0.222624 , 0.777423
0.215691 , 0.787957
0.209132 , 0.798209
0.202919 , 0.80819
0.197028 , 0.817913
0.191436 , 0.82739
0.186122 , 0.83663
0.181069 , 0.845645
0.176258 , 0.854444
0.171673 , 0.863036
0.167301 , 0.871429
0.163127 , 0.879632
0.159139 , 0.887652
0.155326 , 0.895496
0.151676 , 0.903172
0.148182 , 0.910686
0.144832 , 0.918043
0.14162 , 0.92525
0.138536 , 0.932312
0.135574 , 0.939236
0.132728 , 0.946024
0.129991 , 0.952682
0.127356 , 0.959216
0.124819 , 0.965628
0.122375 , 0.971923
0.120019 , 0.978105
0.117746 , 0.984178
0.115552 , 0.990146
0.113433 , 0.99601
0.111386 , 1.00178
0.109408 , 1.00745
0.107494 , 1.01302
0.105642 , 1.01851
0.10385 , 1.02391
0.102114 , 1.02922
0.100432 , 1.03445
0.0988015 , 1.0396
0.0972202 , 1.04468
0.0956862 , 1.04967
0.0941973 , 1.0546
0.0927521 , 1.05945
0.091348 , 1.06423
0.0899838 , 1.06895
0.0886577 , 1.0736
0.0873685 , 1.07818
0.0861142 , 1.0827
0.0848938 , 1.08717
0.0837059 , 1.09157
0.0825495 , 1.09591
0.0814229 , 1.1002
0.0803256 , 1.10443
0.0792558 , 1.10861
0.0782132 , 1.11274
0.0771963 , 1.11681
0.0762046 , 1.12084
0.0752368 , 1.12482
0.0742925 , 1.12874
0.0733705 , 1.13263
0.0724701 , 1.13646
0.0715906 , 1.14025
0.0707315 , 1.144
0.069892 , 1.14771
0.0690714 , 1.15137
0.068269 , 1.15499
0.0674844 , 1.15858
0.0667169 , 1.16212
0.0659662 , 1.16563
0.0652314 , 1.1691
0.0645123 , 1.17253
0.0638083 , 1.17592
0.0631188 , 1.17928
0.0624438 , 1.18261
0.0617824 , 1.1859
0.0611344 , 1.18916
0.0604993 , 1.19238
0.0598769 , 1.19558
0.0592667 , 1.19874
0.0586685 , 1.20187
0.0580817 , 1.20497
0.0575062 , 1.20804
0.0569417 , 1.21109
0.0563878 , 1.2141
0.0558443 , 1.21709
0.0553107 , 1.22004
0.0547869 , 1.22298
0.0542726 , 1.22588
0.0537676 , 1.22876
0.0532717 , 1.23161
0.0527845 , 1.23444
0.0523059 , 1.23724
0.0518357 , 1.24002
0.0513736 , 1.24277
0.0509194 , 1.2455
0.0504728 , 1.24821
0.0500339 , 1.2509
0.0496023 , 1.25356
0.0491779 , 1.2562
0.0487604 , 1.25882
0.0483498 , 1.26142
0.0479459 , 1.26399
0.0475486 , 1.26655
0.0471574 , 1.26908
0.0467726 , 1.2716
0.0463938 , 1.27409
0.0460209 , 1.27657
0.0456538 , 1.27902
0.0452923 , 1.28146
0.0449363 , 1.28388
0.0445859 , 1.28628
0.0442405 , 1.28866
0.0439006 , 1.29103
0.0435657 , 1.29338
0.0432354 , 1.29571
0.0429103 , 1.29802
0.0425899 , 1.30031
0.0422739 , 1.30259
0.0419627 , 1.30486
0.0416556 , 1.3071
0.0413533 , 1.30934
0.041055 , 1.31155
0.0407609 , 1.31375
0.040471 , 1.31594
0.0401848 , 1.31811
0.0399027 , 1.32026
0.0396244 , 1.3224
0.0393499 , 1.32453
0.0390792 , 1.32664
0.0388119 , 1.32874
0.0385483 , 1.33082
0.038288 , 1.33289
0.0380313 , 1.33494
0.0377779 , 1.33699
0.0375275 , 1.33902
0.0372808 , 1.34103
0.037037 , 1.34304
0.0367964 , 1.34503
0.0365588 , 1.34701
0.0363241 , 1.34897
0.0360924 , 1.35093
0.0358634 , 1.35287
0.0356375 , 1.3548
0.0354142 , 1.35672
0.0351936 , 1.35862
0.0349758 , 1.36052
0.0347607 , 1.3624
0.0345479 , 1.36427
0.0343378 , 1.36614
0.0341301 , 1.36799
0.0339251 , 1.36983
0.0337223 , 1.37165
0.0335217 , 1.37347
0.0333237 , 1.37528
0.0331279 , 1.37708
0.0329342 , 1.37886
0.0327429 , 1.38064
0.0325536 , 1.38241
